Page	Confinement Reason	Entry	Exit	Duration	Ethnic Origin	Correctional Facility
9	Alleged or Breached Rule	30 - AUG - 21	03 - SEP - 21	4	CAU	northeast_ns_correctional_facility
9	Alleged or Breached Rule	30 - AUG - 21	31 - AUG - 21	1	BLA	northeast_ns_correctional_facility
9	Alleged or Breached Rule	30 - AUG - 21	31 - AUG - 21	1	IND	northeast_ns_correctional_facility
9	Alleged or Breached Rule	01 - SEP - 21	03 - SEP - 21	2	IND	northeast_ns_correctional_facility
9	Alleged or Breached Rule	02 - SEP - 21	05 - SEP - 21	3	IND	northeast_ns_correctional_facility
9	Alleged or Breached Rule	02 - SEP - 21	16 - SEP - 21	14	CAU	northeast_ns_correctional_facility
9	Alleged or Breached Rule	02 - SEP - 21	03 - SEP - 21	1	CAU	northeast_ns_correctional_facility
9	Alleged or Breached Rule	03 - SEP - 21	03 - SEP - 21	0	IND	northeast_ns_correctional_facility
9	Alleged or Breached Rule	06 - SEP - 21	07 - SEP - 21	1	IND	northeast_ns_correctional_facility
10	Alleged or Breached Rule	10 - SEP - 21	13 - SEP - 21	3	CAU	northeast_ns_correctional_facility
10	Alleged or Breached Rule	10 - SEP - 21	13 - SEP - 21	3	CAU	northeast_ns_correctional_facility
10	Alleged or Breached Rule	10 - SEP - 21	15 - SEP - 21	5	IND	northeast_ns_correctional_facility
10	Alleged or Breached Rule	10 - SEP - 21	13 - SEP - 21	3	CAU	northeast_ns_correctional_facility
10	Alleged or Breached Rule	11 - SEP - 21	13 - SEP - 21	2	CAU	northeast_ns_correctional_facility
10	Alleged or Breached Rule	13 - SEP - 21	17 - SEP - 21	4	CAU	northeast_ns_correctional_facility
10	Alleged or Breached Rule	20 - SEP - 21	21 - SEP - 21	1	CAU	northeast_ns_correctional_facility
10	Alleged or Breached Rule	22 - SEP - 21	23 - SEP - 21	1	IND	northeast_ns_correctional_facility
10	Alleged or Breached Rule	22 - SEP - 21	24 - SEP - 21	2	CAU	northeast_ns_correctional_facility
10	Alleged or Breached Rule	24 - SEP - 21	28 - SEP - 21	4	IND	northeast_ns_correctional_facility
10	Alleged or Breached Rule	24 - SEP - 21	27 - SEP - 21	3	CAU	northeast_ns_correctional_facility
10	Alleged or Breached Rule	25 - SEP - 21	28 - SEP - 21	3	CAU	northeast_ns_correctional_facility
10	Alleged or Breached Rule	26 - SEP - 21	29 - SEP - 21	3	CAU	northeast_ns_correctional_facility
10	Alleged or Breached Rule	26 - SEP - 21	01 - OCT - 21	5	CAU	northeast_ns_correctional_facility
10	Alleged or Breached Rule	27 - SEP - 21	15 - OCT - 21	18	CAU	northeast_ns_correctional_facility
10	Alleged or Breached Rule	27 - SEP - 21	28 - SEP - 21	1	CAU	northeast_ns_correctional_facility
11	Alleged or Breached Rule	28 - SEP - 21	04 - OCT - 21	6	IND	northeast_ns_correctional_facility
11	Alleged or Breached Rule	30 - SEP - 21	01 - OCT - 21	1	IND	northeast_ns_correctional_facility
11	Alleged or Breached Rule	30 - SEP - 21	04 - OCT - 21	4	CAU	northeast_ns_correctional_facility
11	Alleged or Breached Rule	30 - SEP - 21	01 - OCT - 21	1	IND	northeast_ns_correctional_facility
11	Alleged or Breached Rule	30 - SEP - 21	01 - OCT - 21	1	CAU	northeast_ns_correctional_facility
11	Alleged or Breached Rule	30 - SEP - 21	01 - OCT - 21	1	IND	northeast_ns_correctional_facility
11	Alleged or Breached Rule	05 - OCT - 21	05 - OCT - 21	0	IND	northeast_ns_correctional_facility
11	Alleged or Breached Rule	06 - OCT - 21	07 - OCT - 21	1	IND	northeast_ns_correctional_facility
11	Alleged or Breached Rule	09 - OCT - 21	10 - OCT - 21	1	CAU	northeast_ns_correctional_facility
11	Alleged or Breached Rule	09 - OCT - 21	11 - OCT - 21	2	CAU	northeast_ns_correctional_facility
11	Alleged or Breached Rule	09 - OCT - 21	21 - OCT - 21	12	BLA	northeast_ns_correctional_facility
11	Alleged or Breached Rule	11 - OCT - 21	12 - OCT - 21	1	IND	northeast_ns_correctional_facility
11	Alleged or Breached Rule	11 - OCT - 21	12 - OCT - 21	1	IND	northeast_ns_correctional_facility
11	Alleged or Breached Rule	20 - OCT - 21	25 - OCT - 21	5	CAU	northeast_ns_correctional_facility
11	Alleged or Breached Rule	20 - OCT - 21	24 - OCT - 21	4	CAU	northeast_ns_correctional_facility
11	Alleged or Breached Rule	20 - OCT - 21	28 - OCT - 21	8	CAU	northeast_ns_correctional_facility
12	Alleged or Breached Rule	22 - OCT - 21	24 - OCT - 21	IN 2	CAU	northeast_ns_correctional_facility
12	Alleged or Breached Rule	23 - OCT - 21	24 - OCT - 21	1	IND	northeast_ns_correctional_facility
12	Alleged or Breached Rule	24 - OCT - 21	26 - OCT - 21	2	IND	northeast_ns_correctional_facility
12	Alleged or Breached Rule	30 - OCT - 21	01 - NOV - 21	2	CAU	northeast_ns_correctional_facility
12	Alleged or Breached Rule	30 - OCT - 21	18 - NOV - 21	19	CAU	northeast_ns_correctional_facility
12	Alleged or Breached Rule	30 - OCT - 21	03 - NOV - 21	4	CAU	northeast_ns_correctional_facility
12	Alleged or Breached Rule	01 - NOV - 21	02 - NOV - 21	1	CAU	northeast_ns_correctional_facility
12	Alleged or Breached Rule	01 - NOV - 21	02 - NOV - 21	1	CAU	northeast_ns_correctional_facility
12	Alleged or Breached Rule	01 - NOV - 21	07 - NOV - 21	6	IND	northeast_ns_correctional_facility
12	Alleged or Breached Rule	01 - NOV - 21	02 - NOV - 21	1	BLA	northeast_ns_correctional_facility
12	Alleged or Breached Rule	02 - NOV - 21	03 - NOV - 21	1	CAU	northeast_ns_correctional_facility
12	Alleged or Breached Rule	02 - NOV - 21	07 - NOV - 21	5	IND	northeast_ns_correctional_facility
12	Alleged or Breached Rule	02 - NOV - 21	14 - NOV - 21	12	CAU	northeast_ns_correctional_facility
12	Alleged or Breached Rule	03 - NOV - 21	05 - NOV - 21	2	CAU	northeast_ns_correctional_facility
12	Alleged or Breached Rule	03 - NOV - 21	05 - NOV - 21	2	CAU	northeast_ns_correctional_facility
12	Alleged or Breached Rule	09 - NOV - 21	18 - NOV - 21	9	CAU	northeast_ns_correctional_facility
13	Alleged or Breached Rule	11 - NOV - 21	16 - NOV - 21	5	CAU	northeast_ns_correctional_facility
13	Alleged or Breached Rule	12 - NOV - 21	16 - NOV - 21	4	CAU	northeast_ns_correctional_facility
13	Alleged or Breached Rule	15 - NOV - 21	16 - NOV - 21	1	CAU	northeast_ns_correctional_facility
13	Alleged or Breached Rule	16 - NOV - 21	19 - NOV - 21	3	BLA	northeast_ns_correctional_facility
13	Alleged or Breached Rule	16 - NOV - 21	24 - NOV - 21	8	CAU	northeast_ns_correctional_facility
13	Alleged or Breached Rule	19 - NOV - 21	30 - NOV - 21	11	CAU	northeast_ns_correctional_facility
13	Alleged or Breached Rule	20 - NOV - 21	21 - NOV - 21	1	IND	northeast_ns_correctional_facility
13	Alleged or Breached Rule	22 - NOV - 21	23 - NOV - 21	1	IND	northeast_ns_correctional_facility
13	Alleged or Breached Rule	25 - NOV - 21	30 - NOV - 21	5	CAU	northeast_ns_correctional_facility
13	Alleged or Breached Rule	27 - NOV - 21	01 - DEC - 21	4	CAU	northeast_ns_correctional_facility
13	Alleged or Breached Rule	27 - NOV - 21	29 - NOV - 21	2	CAU	northeast_ns_correctional_facility
13	Alleged or Breached Rule	29 - NOV - 21	30 - NOV - 21	1	CAU	northeast_ns_correctional_facility
13	Alleged or Breached Rule	30 - NOV - 21	01 - DEC - 21	1	CAU	northeast_ns_correctional_facility
13	Alleged or Breached Rule	01 - DEC - 21	03 - DEC - 21	2	CAU	northeast_ns_correctional_facility
13	Alleged or Breached Rule	01 - DEC - 21	06 - DEC - 21	5	CAU	northeast_ns_correctional_facility
13	Alleged or Breached Rule	03 - DEC - 21	09 - DEC - 21	6	IND	northeast_ns_correctional_facility
14	Alleged or Breached Rule	03 - DEC - 21	08 - DEC - 21	5	CAU	northeast_ns_correctional_facility
14	Alleged or Breached Rule	04 - DEC - 21	08 - DEC - 21	4	CAU	northeast_ns_correctional_facility
14	Alleged or Breached Rule	05 - DEC - 21	09 - DEC - 21	4	IND	northeast_ns_correctional_facility
14	Alleged or Breached Rule	05 - DEC - 21	09 - DEC - 21	4	CAU	northeast_ns_correctional_facility
14	Alleged or Breached Rule	05 - DEC - 21	09 - DEC - 21	4	CAU	northeast_ns_correctional_facility
14	Alleged or Breached Rule	05 - DEC - 21	09 - DEC - 21	4	CAU	northeast_ns_correctional_facility
14	Alleged or Breached Rule	05 - DEC - 21	09 - DEC - 21	4	IND	northeast_ns_correctional_facility
14	Alleged or Breached Rule	05 - DEC - 21	09 - DEC - 21	4	IND	northeast_ns_correctional_facility
14	Alleged or Breached Rule	11 - DEC - 21	14 - DEC - 21	3	CAU	northeast_ns_correctional_facility
14	Alleged or Breached Rule	13 - DEC - 21	13 - DEC - 21	0	CAU	northeast_ns_correctional_facility
14	Alleged or Breached Rule	14 - DEC - 21	15 - DEC - 21	1	CAU	northeast_ns_correctional_facility
14	Alleged or Breached Rule	14 - DEC - 21	15 - DEC - 21	1	CAU	northeast_ns_correctional_facility
14	Alleged or Breached Rule	14 - DEC - 21	15 - DEC - 21	1	CAU	northeast_ns_correctional_facility
14	Alleged or Breached Rule	15 - DEC - 21	15 - DEC - 21	0	CAU	northeast_ns_correctional_facility
14	Alleged or Breached Rule	15 - DEC - 21	18 - DEC - 21	3	CAU	northeast_ns_correctional_facility
14	Alleged or Breached Rule	16 - DEC - 21	16 - DEC - 21	0	CAU	northeast_ns_correctional_facility
15	Alleged or Breached Rule	16 - DEC - 21	17 - DEC - 21	1	IND	northeast_ns_correctional_facility
15	Alleged or Breached Rule	18 - DEC - 21	21 - DEC - 21	3	CAU	northeast_ns_correctional_facility
15	Alleged or Breached Rule	20 - DEC - 21	20 - DEC - 21	0	CAU	northeast_ns_correctional_facility
15	Alleged or Breached Rule	23 - DEC - 21	26 - DEC - 21	3	CAU	northeast_ns_correctional_facility
15	Alleged or Breached Rule	28 - DEC - 21	30 - DEC - 21	2	CAU	northeast_ns_correctional_facility
15	Alleged or Breached Rule	29 - DEC - 21	30 - DEC - 21	1	CAU	northeast_ns_correctional_facility
15	Alleged or Breached Rule	29 - DEC - 21	02 - JAN - 22	4	IND	northeast_ns_correctional_facility
15	Alleged or Breached Rule	31 - DEC - 21	01 - JAN - 22	1	CAU	northeast_ns_correctional_facility
15	Alleged or Breached Rule	01 - JAN - 22	08 - JAN - 22	7	CAU	northeast_ns_correctional_facility
15	Alleged or Breached Rule	02 - JAN - 22	06 - JAN - 22	4	CAU	northeast_ns_correctional_facility
15	Alleged or Breached Rule	02 - JAN - 22	12 - JAN - 22	10	CAU	northeast_ns_correctional_facility
15	Alleged or Breached Rule	03 - JAN - 22	03 - JAN - 22	0	CAU	northeast_ns_correctional_facility
15	Alleged or Breached Rule	05 - JAN - 22	10 - JAN - 22	5	IND	northeast_ns_correctional_facility
15	Alleged or Breached Rule	05 - JAN - 22	06 - JAN - 22	1	CAU	northeast_ns_correctional_facility
15	Alleged or Breached Rule	05 - JAN - 22	09 - JAN - 22	4	IND	northeast_ns_correctional_facility
15	Alleged or Breached Rule	05 - JAN - 22	10 - JAN - 22	5	IND	northeast_ns_correctional_facility
16	Alleged or Breached Rule	06 - JAN - 22	07 - JAN - 22	1	CAU	northeast_ns_correctional_facility
16	Alleged or Breached Rule	07 - JAN - 22	25 - JAN - 22	18	CAU	northeast_ns_correctional_facility
